Sample	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	SD_READ_LENGTH	MEDIAN_READ_LENGTH	MAD_READ_LENGTH	MIN_READ_LENGTH	MAX_READ_LENGTH	MEAN_ALIGNED_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_READS_IMPROPER_PAIRS	PCT_PF_READS_IMPROPER_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	PCT_SOFTCLIP	PCT_HARDCLIP	AVG_POS_3PRIME_SOFTCLIP_LENGTH	SAMPLE	LIBRARY	READ_GROUP
Crotone498	UNPAIRED	5081757.0	5081757.0	1.0	0.0	5081757.0	1.0	710061038.0	5081757.0	710061038.0	697475170.0	1.0	0.011235	0.011235	0.001138	154.13737	31.229676	163.0	21.0	30.0	189.0	139.902485	0.0	0.0	0.0	0.0	0.0	0.500007	0.115881	0.0	0.092352	0.0	63.518753	Crotone498_SAMPLE		
Crotone500	UNPAIRED	4575668.0	4575668.0	1.0	0.0	4575668.0	1.0	635580121.0	4575668.0	635580121.0	622528242.0	1.0	0.01243	0.01243	0.001113	152.489709	31.87285	161.0	22.0	30.0	189.0	139.075714	0.0	0.0	0.0	0.0	0.0	0.500222	0.101622	0.0	0.087967	0.0	59.910076	Crotone500_SAMPLE		
Crotone501	UNPAIRED	5433927.0	5433927.0	1.0	0.0	5433927.0	1.0	767710734.0	5433927.0	767710734.0	755153122.0	1.0	0.010799	0.010799	0.001139	154.095368	30.516807	162.0	21.0	30.0	189.0	141.45959	0.0	0.0	0.0	0.0	0.0	0.500368	0.096987	0.0	0.082	0.0	62.338675	Crotone501_SAMPLE		
Crotone502	UNPAIRED	4586101.0	4586101.0	1.0	0.0	4586101.0	1.0	639312311.0	4586101.0	639312311.0	628697487.0	1.0	0.0112	0.0112	0.001156	154.312465	31.07345	163.0	21.0	30.0	189.0	139.582392	0.0	0.0	0.0	0.0	0.0	0.500373	0.11711	0.0	0.095456	0.0	62.969021	Crotone502_SAMPLE		
Crotone505	UNPAIRED	4319654.0	4319654.0	1.0	0.0	4319654.0	1.0	604332962.0	4319654.0	604332962.0	594235764.0	1.0	0.011548	0.011548	0.001141	154.246348	30.673543	162.0	21.0	30.0	189.0	140.083419	0.0	0.0	0.0	0.0	0.0	0.500072	0.113724	0.0	0.09182	0.0	61.43482	Crotone505_SAMPLE		
Crotone510	UNPAIRED	3318510.0	3318510.0	1.0	0.0	3318510.0	1.0	449215795.0	3318510.0	449215795.0	439772050.0	1.0	0.012809	0.012809	0.001183	153.735643	33.059607	164.0	21.0	30.0	189.0	135.545356	0.0	0.0	0.0	0.0	0.0	0.500387	0.148057	0.0	0.118322	0.0	64.046565	Crotone510_SAMPLE		
Crotone512	UNPAIRED	5580058.0	5580058.0	1.0	0.0	5580058.0	1.0	796668776.0	5580058.0	796668776.0	784625378.0	1.0	0.011188	0.011188	0.001123	155.077189	29.406269	162.0	20.0	30.0	189.0	142.952483	0.0	0.0	0.0	0.0	0.0	0.500358	0.089217	0.0	0.078185	0.0	59.758558	Crotone512_SAMPLE		
Crotone514	UNPAIRED	5067498.0	5067498.0	1.0	0.0	5067498.0	1.0	711048858.0	5067498.0	711048858.0	699829673.0	1.0	0.010865	0.010865	0.001116	153.937024	30.683361	162.0	21.0	30.0	189.0	140.489848	0.0	0.0	0.0	0.0	0.0	0.499717	0.105858	0.0	0.087355	0.0	63.123637	Crotone514_SAMPLE		
Crotone517	UNPAIRED	5283737.0	5283737.0	1.0	0.0	5283737.0	1.0	761418087.0	5283737.0	761418087.0	749830832.0	1.0	0.011032	0.011032	0.001208	156.949339	29.436224	165.0	19.0	30.0	189.0	144.288633	0.0	0.0	0.0	0.0	0.0	0.500303	0.097582	0.0	0.080667	0.0	62.484676	Crotone517_SAMPLE		
Crotone518	UNPAIRED	5571623.0	5571623.0	1.0	0.0	5571623.0	1.0	783248489.0	5571623.0	783248489.0	767818850.0	1.0	0.012276	0.012276	0.001126	154.019734	31.252104	163.0	20.0	30.0	189.0	140.751883	0.0	0.0	0.0	0.0	0.0	0.500377	0.101062	0.0	0.086144	0.0	60.319871	Crotone518_SAMPLE		
FR041	UNPAIRED	59932149.0	59932149.0	1.0	0.0	59932149.0	1.0	12198182216.0	59932149.0	12198182216.0	12076162201.0	1.0	0.01045	0.01045	0.000963	212.243387	44.065385	215.0	32.0	30.0	291.0	203.835865	0.0	0.0	0.0	0.0	0.0	0.499979	0.022042	0.0	0.039613	0.0	68.558973	FR041_SAMPLE		
