Sample	GATK: GATK VariantEval_mqc-generalstats-gatk_gatk_varianteval-known_titv	GATK: GATK VariantEval_mqc-generalstats-gatk_gatk_varianteval-novel_titv	Picard: QualityYieldMetrics_mqc-generalstats-picard_qualityyieldmetrics-TOTAL_READS	mosdepth_mqc-generalstats-mosdepth-1_x_pc	mosdepth_mqc-generalstats-mosdepth-5_x_pc	mosdepth_mqc-generalstats-mosdepth-10_x_pc	mosdepth_mqc-generalstats-mosdepth-20_x_pc	mosdepth_mqc-generalstats-mosdepth-30_x_pc	mosdepth_mqc-generalstats-mosdepth-50_x_pc	mosdepth_mqc-generalstats-mosdepth-mean_coverage	mosdepth_mqc-generalstats-mosdepth-median_coverage
AllSamples_haplotypecaller.raw.eval	0.0	1.81									
Crotone498			90456811	92.618	86.834	40.544999999999995	0.28800000000000003	0.058	0.038	8.62050	9
Crotone500			74279245	92.457	76.822	22.919999999999998	0.127	0.052	0.034	7.04575	7
Crotone501			83531482	92.599	84.247	32.225	0.178	0.06	0.038	7.96411	8
Crotone502			80900596	92.589	82.828	28.279	0.14200000000000002	0.054	0.037	7.65261	8
Crotone505			72638740	92.542	78.452	19.744999999999997	0.087	0.048	0.032	6.91874	7
Crotone510			71465667	92.477	74.58500000000001	17.756	0.105	0.054	0.036000000000000004	6.65927	7
Crotone512			79554075	92.554	81.003	28.222	0.165	0.055999999999999994	0.036000000000000004	7.58295	8
Crotone514			83507223	92.595	83.86099999999999	32.278	0.20400000000000001	0.058	0.037	7.95633	8
Crotone517			85875128	92.60300000000001	85.504	35.546	0.199	0.055	0.036000000000000004	8.22571	8
Crotone518			91092482	92.61200000000001	86.198	41.032000000000004	0.366	0.061	0.039	8.66280	9
FR041			79990880	92.718	91.768	82.767	16.756	0.281	0.051000000000000004	14.41670	15
FR044			111391218	92.74799999999999	92.485	90.164	59.744	7.007	0.078	20.16992	21
FR046			103938094	92.731	92.557	91.52	46.749	2.423	0.08099999999999999	18.67480	19
FR048			108305254	92.741	92.458	89.90899999999999	56.89300000000001	5.867	0.074	19.72839	21
FR049			95202031	92.729	92.526	90.101	31.381999999999998	0.9730000000000001	0.079	16.93573	17
FR050			92686628	92.726	92.202	87.337	33.68	1.226	0.063	16.74023	17
FR051			71965172	92.706	92.11500000000001	79.63799999999999	7.6579999999999995	0.125	0.05	13.01214	13
FR061			76267249	92.717	91.57600000000001	80.915	13.936000000000002	0.22100000000000003	0.05	13.89432	14
FR063			101547802	92.728	92.54	91.293	46.145	2.604	0.126	18.56519	19
FR064			88869400	92.72399999999999	92.455	88.749	26.284999999999997	0.65	0.059000000000000004	16.04490	16
Guglionesi_336			106795864	92.634	89.00099999999999	54.149	1.075	0.063	0.039	9.79237	10
Guglionesi_426			124757486	92.65299999999999	90.822	68.077	3.3869999999999996	0.074	0.042	11.29917	11
Guglionesi_427			103312048	92.625	87.949	48.177	0.662	0.058	0.038	9.24951	9
