Sample	ACCUMULATION_LEVEL	READS_USED	WINDOW_SIZE	TOTAL_CLUSTERS	ALIGNED_READS	AT_DROPOUT	GC_DROPOUT	GC_NC_0_19	GC_NC_20_39	GC_NC_40_59	GC_NC_60_79	GC_NC_80_100	SAMPLE	LIBRARY	READ_GROUP
Crotone498	All Reads	ALL	100.0	48360883.0	91104638.0	0.043979	0.401406	1.18693	1.006612	0.998355	0.957158	0.760287			
Crotone500	All Reads	ALL	100.0	39934917.0	74794731.0	5.732544	0.067134	0.943151	0.882463	1.112075	1.10685	0.876168			
Crotone501	All Reads	ALL	100.0	45014341.0	84107223.0	2.413949	0.088339	1.038212	0.950725	1.04417	1.069804	0.827642			
Crotone502	All Reads	ALL	100.0	43282597.0	81492768.0	3.257444	0.009071	1.057706	0.93552	1.049479	1.152016	0.987811			
Crotone505	All Reads	ALL	100.0	38968964.0	73186416.0	1.302187	0.072921	1.122407	0.975239	1.018159	1.066164	0.859989			
Crotone510	All Reads	ALL	100.0	37890993.0	72011744.0	6.330946	0.000121	1.072123	0.879688	1.085153	1.339173	1.115886			
Crotone512	All Reads	ALL	100.0	43062708.0	80101092.0	5.233147	0.041102	0.990749	0.892825	1.097136	1.136291	0.919084			
Crotone514	All Reads	ALL	100.0	44829393.0	84095947.0	3.405438	0.04604	1.035961	0.931286	1.06306	1.080071	0.926594			
Crotone517	All Reads	ALL	100.0	46093186.0	86434814.0	0.449382	0.26166	1.163678	1.010936	0.99011	0.986888	0.800634			
Crotone518	All Reads	ALL	100.0	48947931.0	91718350.0	3.318085	0.093206	0.978414	0.933578	1.06413	1.056471	0.843693			
FR041	All Reads	ALL	100.0	71096250.0	81112507.0	2.098921	2.2e-05	1.244189	0.960307	1.018432	1.174392	1.278574			
FR044	All Reads	ALL	100.0	95592753.0	112775703.0	2.425746	8e-06	1.199608	0.953713	1.024069	1.183881	1.370213			
FR046	All Reads	ALL	100.0	92169601.0	105721564.0	3.796919	5.7e-05	1.24065	0.932099	1.032667	1.299282	1.379227			
FR048	All Reads	ALL	100.0	96421005.0	109653357.0	2.269359	2.5e-05	1.1873	0.955447	1.02682	1.150111	1.270943			
FR049	All Reads	ALL	100.0	83760655.0	97373041.0	4.916863	1e-06	1.300182	0.916766	1.035013	1.410003	1.410484			
FR050	All Reads	ALL	100.0	84079659.0	94071412.0	2.280509	1e-06	1.229167	0.95618	1.023074	1.174033	1.239947			
FR051	All Reads	ALL	100.0	63283800.0	73082847.0	3.320657	6e-06	1.231544	0.939812	1.028334	1.267911	1.387078			
FR061	All Reads	ALL	100.0	66508777.0	77296057.0	1.797953	6e-06	1.249079	0.967	1.01592	1.138854	1.215412			
FR063	All Reads	ALL	100.0	91237663.0	102864528.0	1.984794	4e-06	1.198642	0.962186	1.01918	1.152572	1.309247			
FR064	All Reads	ALL	100.0	75689699.0	90084663.0	1.868443	1.4e-05	1.232314	0.966101	1.015112	1.154609	1.197595			
Guglionesi_336	All Reads	ALL	100.0	55858523.0	107657654.0	0.877984	1.094258	1.2764	1.039572	0.967191	0.924806	0.720018			
Guglionesi_426	All Reads	ALL	100.0	64586445.0	125754824.0	0.726121	1.12516	1.222967	1.037303	0.970522	0.91872	0.733909			
Guglionesi_427	All Reads	ALL	100.0	53562404.0	104166742.0	0.822131	0.771732	1.256438	1.031692	0.971422	0.956759	0.793026			
Guglionesi_428	All Reads	ALL	100.0	55168669.0	107717735.0	0.847664	0.841482	1.267301	1.033619	0.971023	0.944903	0.734665			
Guglionesi_429	All Reads	ALL	100.0	57622310.0	112526771.0	0.662012	0.180251	1.21867	1.010224	0.987614	1.012627	0.768542			
