Sample_ID_1	Sample_ID_2	Population_1	Population_2	Ind_1	Ind_2	CHRType	K	Value	Triangle
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Autosomes	K = 7	10	Individual
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Allosome	K = 4	10	Individual
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Allosome	K = 3	10	Individual
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Allosome	K = 6	10	Individual
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Autosomes	K = 2	10	Individual
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Autosomes	K = 5	10	Individual
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Allosome	K = 2	10	Individual
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Allosome	K = 5	10	Individual
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Autosomes	K = 6	10	Individual
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Autosomes	K = 3	10	Individual
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Allosome	K = 7	10	Individual
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Autosomes	K = 4	10	Individual
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Allosome	K = 4	 0.028729	Individual
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Autosomes	K = 7	 0.007130	Individual
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Allosome	K = 3	 0.028654	Individual
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Autosomes	K = 2	10	Individual
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Allosome	K = 3	10	Individual
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Autosomes	K = 4	10	Individual
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Autosomes	K = 2	 0.010270	Individual
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Allosome	K = 6	 0.028690	Individual
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Allosome	K = 5	10	Individual
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Allosome	K = 6	10	Individual
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Allosome	K = 5	 0.028727	Individual
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Autosomes	K = 5	 0.007130	Individual
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Autosomes	K = 6	 0.007130	Individual
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Allosome	K = 2	 0.074522	Individual
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Autosomes	K = 3	 0.007130	Individual
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Allosome	K = 4	10	Individual
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Allosome	K = 7	-0.007064	Individual
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Autosomes	K = 3	10	Individual
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Autosomes	K = 5	10	Individual
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Autosomes	K = 7	10	Individual
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Autosomes	K = 4	 0.007130	Individual
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Allosome	K = 2	10	Individual
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Autosomes	K = 6	10	Individual
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Allosome	K = 7	10	Individual
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Autosomes	K = 7	10	Individual
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Autosomes	K = 6	10	Individual
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Autosomes	K = 2	 0.006274	Individual
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Autosomes	K = 4	 0.004239	Individual
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Autosomes	K = 5	 0.004239	Individual
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Allosome	K = 5	 0.054712	Individual
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Allosome	K = 3	 0.054611	Individual
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Allosome	K = 2	10	Individual
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Allosome	K = 7	10	Individual
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Allosome	K = 4	 0.023276	Individual
