Module	Section	Sample Name	Source
GATK	varianteval	AllSamples_haplotypecaller.raw.eval	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/variants/germline/snv/AllSamples_haplotypecaller.raw.eval.grp
mosdepth	summary	Lesina_295	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/Lesina_295.mosdepth.summary.txt
mosdepth	summary	PDOM2022NLD0062F	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/PDOM2022NLD0062F.mosdepth.summary.txt
mosdepth	summary	TreeSparrow_03	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/TreeSparrow_03.mosdepth.summary.txt
mosdepth	summary	Crotone518	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/Crotone518.mosdepth.summary.txt
mosdepth	summary	Crotone502	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/Crotone502.mosdepth.summary.txt
mosdepth	summary	TreeSparrow_08	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/TreeSparrow_08.mosdepth.summary.txt
mosdepth	summary	Guglionesi_433	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/Guglionesi_433.mosdepth.summary.txt
mosdepth	summary	Guglionesi_429	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/Guglionesi_429.mosdepth.summary.txt
mosdepth	summary	PDOM2022NLD0081F	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/PDOM2022NLD0081F.mosdepth.summary.txt
mosdepth	summary	FR044	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/FR044.mosdepth.summary.txt
mosdepth	summary	PD22NLD0147F	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/PD22NLD0147F.mosdepth.summary.txt
mosdepth	summary	Guglionesi_435	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/Guglionesi_435.mosdepth.summary.txt
mosdepth	summary	KAZ14057	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/KAZ14057.mosdepth.summary.txt
mosdepth	summary	PDOM2022NLD0078F	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/PDOM2022NLD0078F.mosdepth.summary.txt
mosdepth	summary	FR049	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/FR049.mosdepth.summary.txt
mosdepth	summary	PDOM2022NLD0045M	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/PDOM2022NLD0045M.mosdepth.summary.txt
mosdepth	summary	PDOM2022NLD0043F	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/PDOM2022NLD0043F.mosdepth.summary.txt
mosdepth	summary	PDOM2022NLD0072M	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/PDOM2022NLD0072M.mosdepth.summary.txt
mosdepth	summary	Lesina_282	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/Lesina_282.mosdepth.summary.txt
mosdepth	summary	Lesina_289	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/Lesina_289.mosdepth.summary.txt
mosdepth	summary	PI22NLD0001M	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/PI22NLD0001M.mosdepth.summary.txt
mosdepth	summary	TreeSparrow_05	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/TreeSparrow_05.mosdepth.summary.txt
mosdepth	summary	TreeSparrow_09	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/TreeSparrow_09.mosdepth.summary.txt
mosdepth	summary	Lesina_285	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/Lesina_285.mosdepth.summary.txt
mosdepth	summary	Crotone512	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/Crotone512.mosdepth.summary.txt
mosdepth	summary	KAZ14003	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/KAZ14003.mosdepth.summary.txt
mosdepth	summary	TreeSparrow_02	/cluster/projects/nn9244k/sparrow/Pacheco/NLSparrow/NLSparrow_SNPCalling/stats/align/mosdepth/TreeSparrow_02.mosdepth.summary.txt
